experiment_id,run_id,recorded_at,case_id,status,error_type,error_message,mode,backend,threads,agent_count,state_width,action_count,steps,repetition,wall_ms,device_ms,agent_steps_per_second,ns_per_agent_step,checksum,correctness_valid,correctness_action_match,correctness_max_abs_error,correctness_max_rel_error
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:22:59.493584+00:00,90053f103e4d,ok,,,graph-resident,cuda,,1048576,8,8,64,6,111.234274,111.15007781982422,603311026.2399879,1.6575198471546173,-1.9558019638061523,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,0,13.801952,13.724736213684082,1187078.465422862,842.404296875,-2.850161552429199,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,1,13.465696,13.403807640075684,1216721.363678491,821.880859375,-2.732274055480957,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,2,12.885663,12.809215545654297,1271490.6481723138,786.4784545898438,-2.621840000152588,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,3,12.559011,12.502943992614746,1304561.3225436301,766.5411987304688,-2.5161948204040527,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,4,12.64878,12.584896087646484,1295302.7880949783,772.020263671875,-2.4155654907226562,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,5,13.410227,13.34876823425293,1221754.1134836867,818.4953002929688,-2.318577766418457,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.718080+00:00,a14590fe5ede,ok,,,eager-host-visible,cuda,,256,8,8,64,6,13.274732,13.223520278930664,1234224.5402769712,810.225341796875,-2.224285125732422,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,0,66.985239,,62615347.240904815,15.970525503158571,28.093616485595703,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,1,70.057892,,59869115.1026925,16.703103065490723,27.247560501098633,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,2,71.724987,,58477584.666554205,17.100569486618042,26.428152084350586,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,3,67.167752,,62445204.3593777,16.014039993286133,25.634532928466797,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,4,69.72458,,60155313.95097682,16.623635292053223,24.865921020507812,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,5,65.517753,,64017824.29870573,15.620649576187134,24.121517181396484,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:00.879063+00:00,0f5be7ed724b,ok,,,cpu,cpu,8,65536,32,1,64,6,64.864176,,64662873.386382036,15.464824676513672,23.40054702758789,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,0,65.227698,,64302499.22356604,15.551495075225832,-2.941707134246826,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,1,63.720208,,65823765.044834755,15.192081451416016,-2.897563934326172,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,2,63.667969,,65877772.856237955,15.179626703262329,-2.858430862426758,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,3,64.153427,,65379266.48875671,15.295368909835814,-2.8209362030029297,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,4,63.986575,,65549750.08429502,15.255588293075562,-2.785040855407715,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,5,63.5873,,65961347.6275923,15.160393714904785,-2.7511813640594482,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.410799+00:00,0ae446ab9385,ok,,,cpu,cpu,8,65536,8,8,64,6,61.842339,,67822531.74479704,14.744362592697144,-2.7208735942840576,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.884466+00:00,3b87e09214b4,ok,,,graph-resident,cuda,,256,32,1,64,0,1.014007,0.9533439874649048,16157679.384856315,61.89007568359376,25.194555282592773,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.884466+00:00,3b87e09214b4,ok,,,graph-resident,cuda,,256,32,1,64,1,1.018174,0.9753919839859009,16091552.131561011,62.14440917968749,24.330869674682617,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.884466+00:00,3b87e09214b4,ok,,,graph-resident,cuda,,256,32,1,64,2,1.004405,0.9668480157852173,16312145.001269408,61.30401611328125,23.494403839111328,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.884466+00:00,3b87e09214b4,ok,,,graph-resident,cuda,,256,32,1,64,3,1.004327,0.9649919867515564,16313411.86685213,61.29925537109375,22.684295654296875,True,True,0.0,0.0
pilot-002-modal-l4-crossover,20260811T152258Z,2026-08-11T15:23:01.884466+00:00,3b87e09214b4,ok,,,graph-resident,cuda,,256,32,1,64,4,0.998536,0.9620159864425659,16408021.343246514,60.94580078125,21.899728775024414,True,True,0.0,0.0
