experiment_id,run_id,recorded_at,case_id,status,error_type,error_message,mode,backend,threads,agent_count,state_width,action_count,total_steps,observation_horizon,host_visible,compiler_backend,compile_first_call_ms,repetition,wall_ms,device_ms,agent_steps_per_second,ns_per_agent_step,checksum,correctness_valid,correctness_action_match,correctness_state_max_abs_error,correctness_state_max_rel_error,correctness_budget_max_abs_error
compiled-smoke,20260811T154641Z,2026-08-11T15:46:41.949678+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4458.368965,0,0.281861,,3632996.4060299234,275.2548828125,-2.9626989364624023,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:41.949678+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4458.368965,1,0.300775,,3404538.276120023,293.7255859375,-2.9566073417663574,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.434843+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4458.368965,0,0.295834,,3461400.650364732,288.900390625,-2.9626989364624023,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.434843+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4458.368965,1,0.313549,,3265837.237560955,306.2001953125,-2.9566073417663574,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.437402+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,803.543051,0,0.369208,0.3378559947013855,2773504.3661025763,360.5546875,-2.9626846313476562,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.437402+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,803.543051,1,0.505786,0.47068798542022705,2024571.6567876535,493.93164062499994,-2.9565887451171875,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.449023+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,803.543051,0,0.45541,0.4291520118713379,2248523.3086669156,444.736328125,-2.9626846313476562,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.449023+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,803.543051,1,0.478727,0.45321598649024963,2139006.1559093175,467.5068359375,-2.9565887451171875,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.452717+00:00,c17e97ab9d2f,ok,,,compiled-cpu,cpu,1,256,8,1,4,4,False,inductor,1106.494162,0,0.098927,,10351066.94835586,96.6083984375,-2.9626989364624023,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:48.452717+00:00,c17e97ab9d2f,ok,,,compiled-cpu,cpu,1,256,8,1,4,4,False,inductor,1106.494162,1,0.111764,,9162163.129451344,109.14453125,-2.9566073417663574,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:52.229386+00:00,b16a80d9e4b6,ok,,,compiled-cpu,cpu,2,256,8,1,4,4,False,inductor,1106.494162,0,0.152103,,6732280.099669304,148.5380859375,-2.9626989364624023,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154641Z,2026-08-11T15:46:52.229386+00:00,b16a80d9e4b6,ok,,,compiled-cpu,cpu,2,256,8,1,4,4,False,inductor,1106.494162,1,0.11673,,8772380.707615865,113.994140625,-2.9566073417663574,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
