experiment_id,run_id,recorded_at,case_id,status,error_type,error_message,mode,backend,threads,agent_count,state_width,action_count,total_steps,observation_horizon,host_visible,compiler_backend,compile_first_call_ms,repetition,wall_ms,device_ms,agent_steps_per_second,ns_per_agent_step,checksum,correctness_valid,correctness_action_match,correctness_state_max_abs_error,correctness_state_max_rel_error,correctness_budget_max_abs_error
compiled-smoke,20260811T154523Z,2026-08-11T15:45:23.993509+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4563.984572,0,0.309646,,3307002.1895971536,302.388671875,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:23.993509+00:00,c89870e7d6cd,ok,,,compiled-cpu,cpu,1,256,8,1,4,1,False,inductor,4563.984572,1,0.31838,,3216282.429800867,310.91796875,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.595841+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4563.984572,0,0.315097,,3249792.920910069,307.7119140625,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.595841+00:00,8aac984b4507,ok,,,compiled-cpu,cpu,2,256,8,1,4,1,False,inductor,4563.984572,1,0.318091,,3219204.56724648,310.6357421875,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.597214+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,814.436058,0,0.394791,0.3635199964046478,2593777.467064852,385.5380859375,-2.9871864318847656,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.597214+00:00,5d4f3f810766,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,1,False,inductor,814.436058,1,0.518947,0.48390400409698486,1973226.5530005952,506.78417968750006,-2.981039047241211,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.607603+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,814.436058,0,0.482266,0.455487996339798,2123309.542866385,470.962890625,-2.9871864318847656,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.607603+00:00,fd0f76fdabde,ok,,,compiled-gpu-host-visible,cuda,,256,8,1,4,1,True,inductor,814.436058,1,0.492901,0.46649599075317383,2077496.2923589118,481.3486328125,-2.981039047241211,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.609695+00:00,c17e97ab9d2f,ok,,,compiled-cpu,cpu,1,256,8,1,4,4,False,inductor,1176.008696,0,62.730322,,16323.844153071619,61260.080078125,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:30.609695+00:00,c17e97ab9d2f,ok,,,compiled-cpu,cpu,1,256,8,1,4,4,False,inductor,1176.008696,1,0.149389,,6854587.68717911,145.8876953125,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:34.450553+00:00,b16a80d9e4b6,ok,,,compiled-cpu,cpu,2,256,8,1,4,4,False,inductor,1176.008696,0,63.776384,,16056.100013446983,62281.625,-2.9871878623962402,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:34.450553+00:00,b16a80d9e4b6,ok,,,compiled-cpu,cpu,2,256,8,1,4,4,False,inductor,1176.008696,1,0.150137,,6820437.333901703,146.6181640625,-2.9810500144958496,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:34.515027+00:00,cca99570e6fe,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,4,False,inductor,1506.102909,0,60.26099,60.2174072265625,16992.751031803495,58848.623046875,-2.9871864318847656,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
compiled-smoke,20260811T154523Z,2026-08-11T15:45:34.515027+00:00,cca99570e6fe,ok,,,compiled-gpu-resident,cuda,,256,8,1,4,4,False,inductor,1506.102909,1,0.165291,0.13913600146770477,6195134.641329534,161.4169921875,-2.981039047241211,True,True,9.5367431640625e-07,4.654015697269642e-07,0.0
