target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,exact_optimal_share,local_upper_share,exact_accelerated_event_count,exact_batch_count,alignment_gap_closure,solver_elapsed_s,algorithm
1000,0,100,event_class,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012550470419228077,unit_interval_monotone_dp
1000,0,100,pooled,32,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012462025973945856,unit_interval_monotone_dp
1000,0,100,pooled,64,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012543444987386465,unit_interval_monotone_dp
1000,0,100,pooled,128,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012571129016578197,unit_interval_monotone_dp
1000,0,100,pooled,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012604787945747375,unit_interval_monotone_dp
1000,0,100,route_key,32,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012571125756949186,unit_interval_monotone_dp
1000,0,100,route_key,64,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012537728995084763,unit_interval_monotone_dp
1000,0,100,route_key,128,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012436304241418839,unit_interval_monotone_dp
1000,0,100,route_key,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012331293895840645,unit_interval_monotone_dp
1000,0,250,event_class,32,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012312176637351513,unit_interval_monotone_dp
1000,0,250,event_class,64,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012309802696108818,unit_interval_monotone_dp
1000,0,250,event_class,128,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012264265213161707,unit_interval_monotone_dp
1000,0,250,event_class,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012239744421094656,unit_interval_monotone_dp
1000,0,250,pooled,32,60.0,957.5933171032544,6292,0.21169739351557534,0.48029243483788936,0.5692943420216148,3022,88,0.7511111111111112,0.013262708205729723,unit_interval_monotone_dp
1000,0,250,pooled,64,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012571985833346844,unit_interval_monotone_dp
1000,0,250,pooled,128,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012465280946344137,unit_interval_monotone_dp
1000,0,250,pooled,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012427044101059437,unit_interval_monotone_dp
1000,0,250,route_key,32,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.01236787298694253,unit_interval_monotone_dp
1000,0,250,route_key,64,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012225825805217028,unit_interval_monotone_dp
1000,0,250,route_key,128,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.012073083780705929,unit_interval_monotone_dp
1000,0,250,route_key,256,60.0,957.5933171032544,6292,0.0,0.0,0.0,0,0,,0.0119156907312572,unit_interval_monotone_dp
