source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,mode,threads,observations,wall_ms_mean,wall_ms_std,wall_ms_median,wall_ms_min,wall_ms_max,device_ms_median,compile_first_call_ms,ns_per_agent_step_median,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows,wall_ms_cv,cpu8_wall_ms_median,cpu8_wall_ms_cv,cpu_compile_first_call_ms,best_cpu_wall_ms_median,best_cpu_wall_ms_cv,best_cpu_threads,speedup_vs_cpu8,speedup_vs_best_cpu,steady_state_saved_ms,extra_compile_ms_vs_cpu,break_even_rollouts,break_even_agent_steps,steady_state_saved_ms_best_cpu,break_even_rollouts_best_cpu,stable_under_10pct_cv,speedup_bootstrap_ci_low,speedup_bootstrap_ci_high,speedup_vs_best_cpu_bootstrap_ci_low,speedup_vs_best_cpu_bootstrap_ci_high
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,1,1,compiled-gpu-host-visible,,9,6.414298444444444,0.11801586528101977,6.363446,6.287595,6.633939,6.337887763977051,570.182275,388.3939208984375,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0,0.018398873439266883,5.37775,1.6003304826423992,665.888433,4.289429,0.016188602877076547,1.0,0.8451002805712502,0.6740732929925076,-0.9856959999999999,0.0,,,-2.0740169999999996,,True,0.7533955323306489,8.738421955535863,0.6573931662757087,0.6832206198683255
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,1,1,compiled-gpu-resident,,9,4.816938555555556,0.14216122248182797,4.824856,4.6457,5.067294,4.7909440994262695,570.182275,294.48583984375,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0,0.02951277473071939,5.37775,1.6003304826423992,665.888433,4.289429,0.016188602877076547,1.0,1.1145928500249542,0.8890273616456119,0.5528940000000002,0.0,0.0,0.0,-0.5354269999999994,,True,0.9951233342437746,11.496379111828873,0.8699212408139964,0.9226630179700175
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,1,64,compiled-gpu-host-visible,,9,0.18454222222222222,0.0024567397490260186,0.183985,0.181857,0.189715,0.1595200002193451,9553.523291,11.22955322265625,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0,0.013312616047657969,0.573973,0.6992800383701538,13606.781312,0.523638,0.007612805335515789,1.0,3.1196727994129954,2.8460907139168956,0.38998799999999995,0.0,0.0,0.0,0.33965300000000004,0.0,True,3.074586580294819,4.357879418105203,2.7994580380335443,2.86787772830333
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,1,64,compiled-gpu-resident,,9,0.16336711111111113,0.015279414913900044,0.158001,0.155418,0.203505,0.1341439932584762,9553.523291,9.64361572265625,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0,0.09352809638353726,0.573973,0.6992800383701538,13606.781312,0.523638,0.007612805335515789,1.0,3.6327175144461106,3.3141435813697386,0.41597199999999995,0.0,0.0,0.0,0.36563700000000005,0.0,True,3.5231692691913015,4.9610795840906,3.205222358221134,3.351632389265009
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,8,1,compiled-gpu-host-visible,,9,6.463208666666667,0.07643247162692046,6.465656,6.357585,6.627322,6.439295768737793,693.70165,394.63232421875,True,True,8.58306884765625e-06,5.210038580116816e-06,0.0,0,0.01182577811870953,4.802966,0.19941998301998867,785.217778,4.649187,0.03142552296956622,1.0,0.742842798936411,0.7190588240388911,-1.6626900000000004,0.0,,,-1.8164689999999997,,True,0.7246285572914711,1.0454035582534076,0.7078341827133054,0.753226427803535
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,8,1,compiled-gpu-resident,,9,5.190312222222222,0.24157216160020292,5.062823,4.927787,5.659936,5.027775764465332,693.70165,309.0101928710937,True,True,8.58306884765625e-06,5.210038580116816e-06,0.0,0,0.046542895929442614,4.802966,0.19941998301998867,785.217778,4.649187,0.03142552296956622,1.0,0.9486734969798469,0.9182993361608732,-0.2598570000000002,0.0,,,-0.41363599999999945,,True,0.8903719231090554,1.2845173809686559,0.8570748475391444,0.9574277701966875
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,8,64,compiled-gpu-host-visible,,9,0.2065041111111111,0.021081568391870455,0.196576,0.192238,0.247989,0.1705600023269653,14613.464779,11.998046875,True,True,8.58306884765625e-06,5.091628736408893e-06,0.0,0,0.10208788715362357,0.616881,0.49611178234283043,13207.444301,0.603298,0.009927490613833502,1.0,3.1381297818655383,3.0690318248412827,0.42030500000000004,1406.0204780000004,3345.238524404897,54808387.98384983,0.40672200000000003,3456.957032075964,False,2.605449419289682,6.278702914179666,2.546355832351456,3.1319731271285574
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,8,64,compiled-gpu-resident,,9,0.16015866666666667,0.0027674807587406997,0.159478,0.156806,0.165398,0.1358080059289932,14613.464779,9.7337646484375,True,True,8.58306884765625e-06,5.091628736408893e-06,0.0,0,0.017279619119835537,0.616881,0.49611178234283043,13207.444301,0.603298,0.009927490613833502,1.0,3.8681260111112503,3.782954388693111,0.457403,1406.0204780000004,3073.9205427161614,50363114.17186159,0.44382,3167.997111441576,True,3.7833185664965936,7.840218712029161,3.6975100058048946,3.82196217806933
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-gpu-host-visible,,9,6.434056666666667,0.01849637950383781,6.435037,6.406799,6.461625,6.406464099884033,601.256822,392.7634887695313,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.002874761672470682,4.895193,0.10028625832240731,690.516917,4.5247,0.003820211568314497,1.0,0.7607093789825916,0.7031350402491858,-1.5398440000000004,0.0,,,-1.9103370000000002,,True,0.7567498174989908,0.8798437646076613,0.7012233866143465,0.7059491599076608
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-gpu-resident,,9,4.839616555555555,0.08905818240918562,4.801875,4.771761,5.048013,4.774784088134766,601.256822,293.08319091796875,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.018401908784891813,4.895193,0.10028625832240731,690.516917,4.5247,0.003820211568314497,1.0,1.0194336587270598,0.9422777560848627,0.09331800000000001,0.0,0.0,0.0,-0.2771749999999997,,True,1.009397865355931,1.1792486624142837,0.9216129755365337,0.945098955810509
