source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,mode,threads,observations,wall_ms_mean,wall_ms_std,wall_ms_median,wall_ms_min,wall_ms_max,device_ms_median,compile_first_call_ms,ns_per_agent_step_median,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows,wall_ms_cv
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-cpu,1.0,9,4.4085618888888884,0.011706984693383243,4.406388,4.396599,4.432033,,649.335607,8606.2265625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.0026555110234221554
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-cpu,8.0,9,4.349967444444444,0.012052386455709892,4.350389,4.336431,4.367624,,649.335607,8496.853515625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.0027706842889370547
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-gpu-host-visible,,9,6.548919222222222,0.021791725555688698,6.54656,6.518891,6.595024,6.514400005340576,352.920329,12786.25,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.003327530057439644
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-gpu-resident,,9,4.822129222222222,0.08807597025548143,4.779861,4.759841,4.995754,4.753920078277588,352.920329,9335.666015625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01826495437940434
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-cpu,1.0,9,0.40606133333333333,0.003959321311790706,0.407417,0.400149,0.411472,,13131.539423,795.736328125,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.009750549945962283
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-cpu,8.0,9,0.41165111111111113,0.027353367459256477,0.395309,0.389326,0.455759,,13131.539423,772.087890625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.06644793787978716
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-gpu-host-visible,,9,0.179493,0.0032102111690666146,0.178998,0.176168,0.184937,0.1545920073986053,8681.277859,349.60546875,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01788488224647543
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-gpu-resident,,9,0.16480311111111112,0.0028977676944695234,0.164421,0.161723,0.170993,0.1391679942607879,8681.277859,321.134765625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01758320989775389
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,1,compiled-cpu,1.0,9,4.343547555555556,0.041967280755700206,4.333121,4.30222,4.443481,,4821.256197,4231.5634765625,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.009661982565845864
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,1,compiled-cpu,8.0,9,4.216288888888889,0.020366413457236554,4.210572,4.198973,4.265758,,4821.256197,4111.88671875,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.0048304122402304545
