source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,mode,threads,observations,wall_ms_mean,wall_ms_std,wall_ms_median,wall_ms_min,wall_ms_max,device_ms_median,compile_first_call_ms,ns_per_agent_step_median,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows,wall_ms_cv
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,8,64,compiled-gpu-resident,,9,0.16015866666666667,0.0027674807587406997,0.159478,0.156806,0.165398,0.1358080059289932,14613.464779,9.7337646484375,True,True,8.58306884765625e-06,5.091628736408893e-06,0.0,0,0.017279619119835537
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-cpu,1.0,9,4.5233595555555555,0.017280190501779254,4.5247,4.484481,4.540682,,690.516917,276.165771484375,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.003820211568314497
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-cpu,8.0,9,5.257958777777778,0.5273010122367913,4.895193,4.790439,6.316792,,690.516917,298.77886962890625,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.10028625832240731
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-gpu-host-visible,,9,6.434056666666667,0.01849637950383781,6.435037,6.406799,6.461625,6.406464099884033,601.256822,392.7634887695313,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.002874761672470682
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,1,compiled-gpu-resident,,9,4.839616555555555,0.08905818240918562,4.801875,4.771761,5.048013,4.774784088134766,601.256822,293.08319091796875,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.018401908784891813
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,64,compiled-cpu,1.0,9,0.5840166666666666,0.00394392846664338,0.583687,0.578093,0.589585,,13300.00005,35.62542724609375,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.00675310944318378
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,64,compiled-cpu,8.0,9,0.6106746666666667,0.005886183865629744,0.609756,0.604762,0.619664,,13300.00005,37.216552734375,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.009638821105449072
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,64,compiled-gpu-host-visible,,9,0.18164266666666667,0.0037515811666549307,0.179961,0.176809,0.187736,0.1560959964990615,10024.460586,10.98394775390625,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.020653634058012786
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,1,64,compiled-gpu-resident,,9,0.15749455555555555,0.005289330229601647,0.155288,0.153291,0.169601,0.1321599930524826,10024.460586,9.47802734375,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0,0.03358421001249061
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,256,32,8,1,compiled-cpu,1.0,9,4.811402222222222,0.017466356122398816,4.809196,4.787312,4.843301,,661.24579,293.530029296875,True,True,8.106231689453125e-06,5.059569048171397e-06,0.0,0,0.0036302007846543546
