target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,local_upper_share,boundary_alignment_gap,fixed_cohort_p90,local_cohort_p90,local_cohort_max
1000,1,10,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,3.0,6
1000,1,10,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,3.0,6
1000,1,10,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,3.0,6
1000,1,10,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,7
1000,1,10,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,7
1000,1,10,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,7
1000,1,10,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,7
1000,1,10,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,2.0,3.0,5
1000,1,10,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,2.0,3.0,5
1000,1,10,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,2.0,3.0,5
1000,1,10,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,2.0,3.0,5
1000,1,25,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,9
1000,1,25,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,9
1000,1,25,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,9
1000,1,25,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,4.0,5.0,9
1000,1,25,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,10
1000,1,25,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,10
1000,1,25,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,10
1000,1,25,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,10
1000,1,25,route_key,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,4.0,8
1000,1,25,route_key,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,4.0,8
1000,1,25,route_key,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,4.0,8
1000,1,25,route_key,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,3.0,4.0,8
1000,1,50,event_class,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,11
1000,1,50,event_class,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,11
1000,1,50,event_class,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,11
1000,1,50,event_class,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,6.0,7.0,11
1000,1,50,pooled,32,60.0,979.8641044770044,6521,0.0,0.0,0.0,10.0,11.0,16
1000,1,50,pooled,64,60.0,979.8641044770044,6521,0.0,0.0,0.0,10.0,11.0,16
1000,1,50,pooled,128,60.0,979.8641044770044,6521,0.0,0.0,0.0,10.0,11.0,16
1000,1,50,pooled,256,60.0,979.8641044770044,6521,0.0,0.0,0.0,10.0,11.0,16
