target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,fixed_window_eligible_share_mean,local_upper_share_mean,local_upper_share_min,local_upper_share_max,boundary_alignment_gap_mean,boundary_alignment_gap_max,event_count_mean,mean_active_sessions,fixed_cohort_p90,local_cohort_p90,local_cohort_max
1000,100,pooled,64,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.333333333333332,28
1000,100,pooled,128,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.333333333333332,28
1000,100,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.333333333333332,28
1000,100,route_key,32,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,8.0,10.0,16
1000,100,route_key,64,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,8.0,10.0,16
1000,100,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,8.0,10.0,16
1000,100,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,8.0,10.0,16
1000,250,event_class,32,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,20.0,23.333333333333332,31
1000,250,event_class,64,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,20.0,23.333333333333332,31
1000,250,event_class,128,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,20.0,23.333333333333332,31
1000,250,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,20.0,23.333333333333332,31
1000,250,pooled,32,3,0.2633852928137646,0.6633457862950443,0.5692943420216148,0.7355720308184329,0.39996049348127966,0.4499309921791136,6564.0,1000.0003950774268,35.333333333333336,39.666666666666664,49
1000,250,pooled,64,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,35.333333333333336,39.666666666666664,49
1000,250,pooled,128,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,35.333333333333336,39.666666666666664,49
1000,250,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,35.333333333333336,39.666666666666664,49
1000,250,route_key,32,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.666666666666668,28
1000,250,route_key,64,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.666666666666668,28
1000,250,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.666666666666668,28
1000,250,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,6564.0,1000.0003950774268,16.333333333333332,19.666666666666668,28
10000,10,event_class,32,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,9.666666666666666,11.666666666666666,21
10000,10,event_class,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,9.666666666666666,11.666666666666666,21
10000,10,event_class,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,9.666666666666666,11.666666666666666,21
10000,10,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,9.666666666666666,11.666666666666666,21
10000,10,pooled,32,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,16.0,19.333333333333332,29
10000,10,pooled,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,16.0,19.333333333333332,29
10000,10,pooled,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,16.0,19.333333333333332,29
10000,10,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,16.0,19.333333333333332,29
10000,10,route_key,32,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,8.0,10.0,19
10000,10,route_key,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,8.0,10.0,19
10000,10,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,8.0,10.0,19
