target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,event_count_mean,fixed_window_eligible_share_mean,exact_optimal_share_mean,exact_optimal_share_min,exact_optimal_share_max,local_upper_share_mean,exact_batch_count_mean,alignment_gap_closure_mean,solver_elapsed_s_mean
1000,10,event_class,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012384757089118162
1000,10,event_class,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012529734677324692
1000,10,event_class,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012419920259465774
1000,10,event_class,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012793919071555138
1000,10,pooled,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012758883026738962
1000,10,pooled,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012522717161724964
1000,10,pooled,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01256331397841374
1000,10,pooled,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012558964546769857
1000,10,route_key,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012819602464636167
1000,10,route_key,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012682923891892036
1000,10,route_key,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01262646804874142
1000,10,route_key,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012526382536937794
1000,25,event_class,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012569791326920191
1000,25,event_class,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012484659596035877
1000,25,event_class,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012565377944459518
1000,25,event_class,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012555244068304697
1000,25,pooled,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012683341279625893
1000,25,pooled,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012864746619015932
1000,25,pooled,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012572519791622957
1000,25,pooled,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012584231017778317
1000,25,route_key,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013067118357867002
1000,25,route_key,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01298581575974822
1000,25,route_key,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012709753277401129
1000,25,route_key,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012657269680251678
1000,50,event_class,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012726195932676395
1000,50,event_class,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012573557440191507
1000,50,event_class,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012979929490635792
1000,50,event_class,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013222502389301857
1000,50,pooled,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012704489131768545
1000,50,pooled,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01290738582611084
1000,50,pooled,128,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012788673552374044
1000,50,pooled,256,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012912395720680555
1000,50,route_key,32,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013790493520597616
1000,50,route_key,64,3,6564.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.013159770363320908
