source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,1048576,32,8,1,False,False,4.2319297790527344e-05,0.0158994998782873,0.107147216796875,0
pilot-003-local-compiler-matched-20260811T154807Z.csv,20260811T154807Z,NVIDIA GeForce GTX 1660 Ti,local,1048576,32,8,64,False,False,4.220008850097656e-05,0.0158994998782873,0.107147216796875,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,8,1,1,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,8,1,64,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,8,8,1,True,True,8.58306884765625e-06,5.210038580116816e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,8,8,64,True,True,8.58306884765625e-06,5.091628736408893e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,32,1,1,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,32,1,64,True,True,8.58306884765625e-06,4.98989084007917e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,32,8,1,True,True,8.106231689453125e-06,5.059569048171397e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,256,32,8,64,True,True,7.867813110351562e-06,4.947134129906772e-06,0.0,0
pilot-004-modal-l4-compiler-matched-20260811T162615Z.csv,20260811T162615Z,NVIDIA L4,modal,4096,8,1,1,True,True,1.5735626220703125e-05,1.2078089639544489e-05,0.0,0
