source_file,run_id,hardware,provider,agent_count,state_width,action_count,observation_horizon,mode,threads,observations,wall_ms_mean,wall_ms_std,wall_ms_median,wall_ms_min,wall_ms_max,device_ms_median,compile_first_call_ms,ns_per_agent_step_median,shape_valid,action_match,max_state_abs_error,max_state_rel_error,max_budget_abs_error,execution_error_rows,wall_ms_cv,cpu8_wall_ms_median,cpu8_wall_ms_cv,cpu8_compile_first_call_ms,best_cpu_wall_ms_median,best_cpu_wall_ms_cv,best_cpu_compile_first_call_ms,best_cpu_threads,speedup_vs_cpu8,speedup_vs_best_cpu,steady_state_saved_ms_best_cpu,extra_compile_ms_vs_best_cpu,break_even_rollouts_best_cpu,break_even_agent_steps_best_cpu,stable_under_10pct_cv,speedup_bootstrap_ci_low,speedup_bootstrap_ci_high,speedup_vs_best_cpu_bootstrap_ci_low,speedup_vs_best_cpu_bootstrap_ci_high
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-gpu-host-visible,,9,6.548919222222222,0.021791725555688698,6.54656,6.518891,6.595024,6.514400005340576,352.920329,12786.25,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.003327530057439644,4.350389,0.0027706842889370547,649.335607,4.350389,0.0027706842889370547,649.335607,8.0,0.6645305320656955,0.6645305320656955,-2.1961710000000005,0.0,,,True,0.6622356104395123,0.6667583844257748,0.6622356104395123,0.6670147375109982
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,1,compiled-gpu-resident,,9,4.822129222222222,0.08807597025548143,4.779861,4.759841,4.995754,4.753920078277588,352.920329,9335.666015625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01826495437940434,4.350389,0.0027706842889370547,649.335607,4.350389,0.0027706842889370547,649.335607,8.0,0.9101496884532834,0.9101496884532834,-0.4294720000000005,0.0,,,True,0.879147947962828,0.9135520886486029,0.879147947962828,0.9135520886486029
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-gpu-host-visible,,9,0.179493,0.0032102111690666146,0.178998,0.176168,0.184937,0.1545920073986053,8681.277859,349.60546875,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01788488224647543,0.395309,0.06644793787978716,13131.539423,0.395309,0.06644793787978716,13131.539423,8.0,2.2084548430708724,2.2084548430708724,0.21631100000000003,0.0,0.0,0.0,True,2.1698506176386094,2.4922159856805073,2.1698506176386094,2.5113900796080832
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,8,8,1,64,compiled-gpu-resident,,9,0.16480311111111112,0.0028977676944695234,0.164421,0.161723,0.170993,0.1391679942607879,8681.277859,321.134765625,True,True,6.67572021484375e-06,3.699329909068183e-06,0.0,0,0.01758320989775389,0.395309,0.06644793787978716,13131.539423,0.395309,0.06644793787978716,13131.539423,8.0,2.4042488489913088,2.4042488489913088,0.230888,0.0,0.0,0.0,True,2.3611955632275907,2.7431606598845875,2.373699476446158,2.728313643487331
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,1,compiled-gpu-host-visible,,9,6.483399444444444,0.16430335424536463,6.415755,6.376376,6.794078,6.385600090026856,608.265603,6265.3857421875,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.025342161261736607,4.210572,0.0048304122402304545,4821.256197,4.210572,0.0048304122402304545,4821.256197,8.0,0.6562862827523807,0.6562862827523807,-2.205183,0.0,,,True,0.6246183391989938,0.6605651498484433,0.6257042980695431,0.6605651498484433
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,1,compiled-gpu-resident,,9,4.842758666666667,0.07698301666439182,4.822249,4.754136,5.028292,4.79695987701416,608.265603,4709.2275390625,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.015896521376189125,4.210572,0.0048304122402304545,4821.256197,4.210572,0.0048304122402304545,4821.256197,8.0,0.873155243538855,0.873155243538855,-0.6116770000000002,0.0,,,True,0.8657317683186884,0.878483068288276,0.8662937246387806,0.878483068288276
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,64,compiled-gpu-host-visible,,9,0.1797508888888889,0.002398612121855287,0.178677,0.176566,0.183351,0.1552640050649643,8605.713128,174.4892578125,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.013344090461427224,0.41051,0.01720754769209894,13309.723466,0.41051,0.01720754769209894,13309.723466,8.0,2.2974977193483213,2.2974977193483213,0.23183299999999998,0.0,0.0,0.0,True,2.2500781156196425,2.3196767313952185,2.250268315638261,2.3196767313952185
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,16,8,1,64,compiled-gpu-resident,,9,0.15990977777777776,0.003307500218358946,0.15885,0.156878,0.167862,0.1346880048513412,8605.713128,155.126953125,True,True,3.933906555175781e-06,3.540320903994143e-06,0.0,0,0.020683539582897103,0.41051,0.01720754769209894,13309.723466,0.41051,0.01720754769209894,13309.723466,8.0,2.5842618822788794,2.5842618822788794,0.25166,0.0,0.0,0.0,True,2.5500000000000003,2.6160602973097835,2.5382499345035363,2.6160602973097835
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,32,8,1,1,compiled-gpu-host-visible,,9,6.515697777777778,0.26699951288100593,6.476992,6.207152,7.006366,6.445216178894043,459.480829,3162.59375,True,True,6.67572021484375e-06,3.344140623084968e-06,0.0,0,0.04097788479257365,4.411166,0.04713163732303574,688.94244,4.371676,0.0048091657772994885,688.94244,1.0,0.681051636315129,0.6749546703160973,-2.105316,0.0,,,True,0.6366524729676,0.7110259082728257,0.6471045606095933,0.7009553436134556
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,32,8,1,1,compiled-gpu-resident,,9,4.812189222222222,0.05421744132144603,4.819534,4.719851,4.870143,4.793568134307861,459.480829,2353.2880859375,True,True,6.67572021484375e-06,3.344140623084968e-06,0.0,0,0.011266689404289248,4.411166,0.04713163732303574,688.94244,4.371676,0.0048091657772994885,688.94244,1.0,0.9152681566309108,0.9070744183981273,-0.4478580000000001,0.0,,,True,0.8787731002768399,0.9459617077419293,0.899154697175661,0.9238928076289662
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,32,8,1,64,compiled-gpu-host-visible,,9,0.18441333333333335,0.002512649597536424,0.184428,0.180239,0.187015,0.1588159948587417,9133.521692,90.052734375,True,True,6.67572021484375e-06,3.344140623084968e-06,0.0,0,0.013625097231959496,0.411403,0.11622150393423594,12946.385252,0.403848,0.03114784953955663,12946.385252,1.0,2.2306970741969767,2.1897325785672455,0.21941999999999998,0.0,0.0,0.0,True,2.1447977406226175,2.7179095153547705,2.1319653584247606,2.232229430959187
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,32,8,1,64,compiled-gpu-resident,,9,0.15964733333333334,0.013680174377543578,0.155444,0.149215,0.195407,0.1323840022087097,9133.521692,75.900390625,True,True,6.67572021484375e-06,3.344140623084968e-06,0.0,0,0.08568996482377977,0.411403,0.11622150393423594,12946.385252,0.403848,0.03114784953955663,12946.385252,1.0,2.6466315843647874,2.598028872134016,0.24840399999999999,0.0,0.0,0.0,True,2.5561061901690434,3.2014497618156232,2.5303569415036895,2.6329151462795104
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,64,8,1,1,compiled-gpu-host-visible,,9,6.572364555555556,0.031284411486038444,6.571925,6.515056,6.626607,6.536863803863525,515.016134,1604.473876953125,True,True,6.437301635742188e-06,3.861380264424952e-06,0.0,0,0.004759993335974347,4.382638,0.004018321663367316,649.907722,4.337779,0.02553130940103484,649.907722,1.0,0.6668727960224744,0.660046942106004,-2.234146,0.0,,,True,0.6636444098520646,0.6688218764496564,0.6523163137055933,0.6726179914259931
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,64,8,1,1,compiled-gpu-resident,,9,4.710142111111111,0.040858814142252196,4.694276,4.67577,4.781109,4.667967796325684,515.016134,1146.0634765625,True,True,6.437301635742188e-06,3.861380264424952e-06,0.0,0,0.008674645727963759,4.382638,0.004018321663367316,649.907722,4.337779,0.02553130940103484,649.907722,1.0,0.9336131918958323,0.9240570856932997,-0.35649700000000006,0.0,,,True,0.9175090866718075,0.9364969301176264,0.9077701242532026,0.9413466946336967
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,64,8,1,64,compiled-gpu-host-visible,,9,0.18175122222222223,0.01410740271787987,0.176211,0.175336,0.219042,0.1531199961900711,9067.480966,43.020263671875,True,True,6.437301635742188e-06,3.861380264424952e-06,0.0,0,0.0776193004118076,0.417833,0.008732602206247502,12686.224817,0.417833,0.008732602206247502,12686.224817,8.0,2.3712083808615807,2.3712083808615807,0.241622,0.0,0.0,0.0,True,2.3024053647461127,2.3820651463205236,2.3024053647461127,2.3820651463205236
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,64,8,1,64,compiled-gpu-resident,,9,0.17021455555555554,0.03256367174901776,0.158514,0.154229,0.256013,0.1343040019273758,9067.480966,38.69970703125,True,True,6.437301635742188e-06,3.861380264424952e-06,0.0,0,0.1913095601180209,0.417833,0.008732602206247502,12686.224817,0.417833,0.008732602206247502,12686.224817,8.0,2.6359375197143473,2.6359375197143473,0.259319,0.0,0.0,0.0,False,2.4728833674812973,2.6876050447121616,2.4728833674812973,2.6876050447121616
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,128,8,1,1,compiled-gpu-host-visible,,9,6.40234111111111,0.07859615831331128,6.414444,6.291813,6.555959,6.381440162658691,633.468365,783.01318359375,True,True,6.198883056640625e-06,5.0133430704590864e-06,0.0,0,0.012276159134493711,4.615313,0.06644209532815416,666.552482,4.383365,0.0152018689892155,666.552482,1.0,0.7195187922756829,0.6833585264755606,-2.031078999999999,0.0,,,True,0.7023391669593857,0.7455801074886086,0.6749742170592015,0.6992016053606137
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,128,8,1,1,compiled-gpu-resident,,9,4.867210444444445,0.015676628680229,4.869059,4.837727,4.886396,4.842432022094727,633.468365,594.3675537109375,True,True,6.198883056640625e-06,5.0133430704590864e-06,0.0,0,0.0032208651873934678,4.615313,0.06644209532815416,666.552482,4.383365,0.0152018689892155,666.552482,1.0,0.947886028902094,0.9002488981957295,-0.4856939999999996,0.0,,,True,0.9250095310321157,0.9836958528976533,0.8890990533964018,0.919556569552971
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,128,8,1,64,compiled-gpu-host-visible,,9,0.18432033333333334,0.0028172209710990016,0.183359,0.181649,0.190058,0.1590400040149688,9791.315653,22.3826904296875,True,True,6.198883056640625e-06,5.0133430704590864e-06,0.0,0,0.015284374328925557,0.446864,0.014933705195484197,13251.096113,0.446864,0.014933705195484197,13251.096113,8.0,2.4370988061671364,2.4370988061671364,0.263505,0.0,0.0,0.0,True,2.385851884926963,2.4788896702481997,2.385851884926963,2.4788896702481997
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,128,8,1,64,compiled-gpu-resident,,9,0.15307033333333334,0.002609583970674252,0.151853,0.150156,0.157673,0.1290879994630813,9791.315653,18.5367431640625,True,True,6.198883056640625e-06,5.0133430704590864e-06,0.0,0,0.017048267380404117,0.446864,0.014933705195484197,13251.096113,0.446864,0.014933705195484197,13251.096113,8.0,2.942740676838785,2.942740676838785,0.295011,0.0,0.0,0.0,True,2.866185175961226,2.9790089127506088,2.8665044668799533,2.9786770903154305
pilot-005-local-sub256-20260811T171204Z.csv,20260811T171204Z,NVIDIA GeForce GTX 1660 Ti,local,256,8,1,1,compiled-gpu-host-visible,,9,6.407808666666667,0.015433355654231493,6.411752,6.37818,6.428731,6.385280132293701,565.043534,391.34228515625,True,True,6.437301635742188e-06,4.720264314528322e-06,0.0,0,0.0024085231718162245,4.67454,0.10300915583917308,673.693716,4.58976,0.07791039060692034,673.693716,1.0,0.7290581419867769,0.7158355469768638,-1.8219919999999998,0.0,,,True,0.7260368704534197,0.8944419052298606,0.698447464700442,0.7391426701877293
