source_file,source_row,session_id,benchmark,harness,models,span_count,session_start,session_end,session_duration_s,tool_call_spans,tool_call_count,unique_tool_count,route_count,dominant_route_share,route_concentration,effective_route_count,route_entropy_bits,peak_recorded_span_concurrency,overlapping_span_starts,invalid_json_fields,nonpositive_duration_spans,failed_status_spans,total_input_tokens,total_output_tokens
0021.parquet,17,45eff42acfad_62e4c7cf,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:17:32.080583+00:00,2026-01-28T10:19:55.552906+00:00,143.472323,15,16,6,6,0.4666666666666667,0.3066666666666667,3.260869565217391,2.063458298648303,1,0,0,0,0,307192,6580
0021.parquet,18,45eff42acfad_65f60460,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:17:32.080583+00:00,2026-01-28T10:19:55.552906+00:00,143.472323,15,16,6,6,0.4666666666666667,0.3066666666666667,3.260869565217391,2.063458298648303,1,0,0,0,0,307192,6580
0021.parquet,19,45eff42acfad_66c2f3a4,tau2_airline,claude_code,gcp/gemini-3-pro-preview,12,2026-01-28T10:18:45.953131+00:00,2026-01-28T10:21:28.566772+00:00,162.613641,12,19,6,6,0.5,0.3055555555555556,3.2727272727272725,2.1258145836939115,1,0,0,0,0,243459,6201
0021.parquet,20,45eff42acfad_67c9539c,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:02.867314+00:00,2026-01-28T10:19:38.470854+00:00,95.60354,10,11,5,5,0.4,0.28,3.571428571428571,2.0464393446710156,1,0,0,0,0,202240,5332
0021.parquet,21,45eff42acfad_6bac7484,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:17:22.695869+00:00,2026-01-28T10:20:55.136535+00:00,212.440666,14,17,7,7,0.4,0.2355555555555556,4.245283018867924,2.4225797618424916,1,0,0,0,0,330752,10446
0021.parquet,22,45eff42acfad_7c1546c5,tau2_airline,claude_code,gcp/gemini-3-pro-preview,14,2026-01-28T10:17:34.241160+00:00,2026-01-28T10:19:42.449191+00:00,128.208031,14,32,6,4,0.35714285714285715,0.29591836734693877,3.3793103448275863,1.8352377453121176,1,0,0,0,0,342169,5094
0021.parquet,23,45eff42acfad_7d7ccea9,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:22.841936+00:00,2026-01-28T10:19:49.468822+00:00,86.626886,9,11,5,5,0.5,0.32,3.125,1.9609640474436811,1,0,0,0,0,196436,4400
0021.parquet,24,45eff42acfad_91016e55,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:22.841936+00:00,2026-01-28T10:19:49.468822+00:00,86.626886,9,11,5,5,0.5,0.32,3.125,1.9609640474436811,1,0,0,0,0,196436,4400
0021.parquet,25,45eff42acfad_a8d84939,tau2_airline,claude_code,gcp/gemini-3-pro-preview,10,2026-01-28T10:18:49.665282+00:00,2026-01-28T10:20:50.171617+00:00,120.506335,10,15,4,5,0.3,0.24,4.166666666666667,2.1709505944546685,1,0,0,0,0,206938,7229
0021.parquet,26,45eff42acfad_afbcf030,tau2_airline,claude_code,gcp/gemini-3-pro-preview,15,2026-01-28T10:18:08.398050+00:00,2026-01-28T10:21:08.656267+00:00,180.258217,15,20,9,6,0.4,0.26222222222222225,3.813559322033898,2.2062389286533897,1,0,0,0,0,310990,8772
