requested_gpu,agent_count,state_width,action_count,observation_horizon,placements,wall_ms_median_of_placement_medians,wall_ms_placement_min,wall_ms_placement_max,device_ms_median_of_placement_medians,wall_to_device_ratio_median,tuned_cpu_wall_ms_median_of_placements,speedup_median_of_placements,speedup_placement_min,speedup_placement_max,placements_speedup_gt_one,compile_ms_median_of_placements,ns_per_agent_step_median_of_placements,gpu_price_usd_per_second,cost_usd_per_billion_median,cost_usd_per_billion_placement_min,cost_usd_per_billion_placement_max,fraction_placements_speedup_gt_one,price_rank,wall_time_rank,cost_rank
H100!,256,8,1,64,3,0.122803,0.11978749999999999,0.1812455,0.1044160015881061,1.1760936842269234,0.5884915,4.519026408149639,3.5944644142889066,4.912795575498278,3,10687.902738,7.49530029296875,0.001097,0.00822234442138672,0.008020439910888673,0.012135395111083986,1.0,6.0,1.0,5.0
A10,256,8,1,64,3,0.17365799999999998,0.168572,0.210405,0.14963199943304056,1.1605672627378805,0.6777805,3.9029615681396774,3.495979183004206,4.0036838858173365,3,11550.1846,10.5992431640625,0.000306,0.0032433684082031253,0.00314837841796875,0.003929683227539063,1.0,3.0,2.0,2.0
L40S,256,8,1,64,3,0.187224,0.12088199999999999,0.1951505,0.15952000021934504,1.1736710114252826,0.570039,3.6558143586616483,3.0446897833611075,4.12438576462997,3,9491.693269,11.42724609375,0.000542,0.006193567382812499,0.003998904052734374,0.006455784362792968,1.0,4.0,3.0,4.0
T4,256,8,1,64,3,0.2426355,0.2406185,0.26058950000000003,0.2114240005612373,1.1476251483081863,1.161596,4.74395360290252,4.45757023978326,4.798391002141072,3,14629.158511,14.809295654296875,0.000164,0.0024287244873046876,0.0024085347900390623,0.0026084398193359374,1.0,1.0,4.0,1.0
A100-80GB,256,8,1,64,3,0.2637695,0.2257105,0.28132,0.2316159978508949,1.1500850343857725,0.9107395,3.2697659169599995,3.237379141191526,5.543863107751275,3,18132.689787,16.099212646484375,0.000694,0.011172853576660155,0.009560735290527343,0.0119162646484375,1.0,5.0,5.0,6.0
L4,256,8,1,64,3,0.33739549999999996,0.332958,0.3431225,0.2943360060453415,1.1312173609799845,1.284937,3.8083999342018497,3.668348767568434,3.937418533268461,3,18238.520226,20.592987060546875,0.000222,0.004571643127441407,0.004511515869140625,0.004649242858886719,1.0,2.0,6.0,3.0
