target_active_sessions,window_ms,grouping,threshold_k,repetitions,eligible_share_mean,eligible_share_std,eligible_share_min,eligible_share_max,cohort_size_event_mean,cohort_size_event_p50,cohort_size_event_p90,cohort_size_event_p99,cohort_size_max,wait_ms_mean,wait_ms_p95,mean_active_sessions,active_population_ratio,event_rate_hz
100,1,event_class,32,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,64,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,128,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,256,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,512,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,1024,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,event_class,4096,5,0.0,0.0,0.0,0.0,1.0060790224838558,1.0,1.0,1.2,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,32,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,64,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,128,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,256,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,512,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,1024,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,pooled,4096,5,0.0,0.0,0.0,0.0,1.01275625987323,1.0,1.0,1.5539999999999963,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,32,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,64,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,128,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,256,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,512,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,1024,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,1,route_key,4096,5,0.0,0.0,0.0,0.0,1.0042642721934958,1.0,1.0,1.0,2,0.4930524489920728,0.9419528978709989,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,32,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,64,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,128,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,256,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,512,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,1024,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,event_class,4096,5,0.0,0.0,0.0,0.0,1.029438276893994,1.0,1.0,1.8,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,32,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,64,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,128,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,256,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,512,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,1024,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,pooled,4096,5,0.0,0.0,0.0,0.0,1.0601131447283203,1.0,1.0,2.0,3,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,32,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,64,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,128,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,256,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,512,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,1024,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,5,route_key,4096,5,0.0,0.0,0.0,0.0,1.0184459341811187,1.0,1.0,1.6460000000000037,2,2.464039683491801,4.712967187536101,98.35978567599355,0.9835978567599355,10.6
100,10,event_class,32,5,0.0,0.0,0.0,0.0,1.0633856991068313,1.0,1.0,2.0,3,4.961684670317281,9.513707961786553,98.35978567599355,0.9835978567599355,10.6
100,10,event_class,64,5,0.0,0.0,0.0,0.0,1.0633856991068313,1.0,1.0,2.0,3,4.961684670317281,9.513707961786553,98.35978567599355,0.9835978567599355,10.6
